date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:24:10	70609/70609	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Jan%202017%2007:12:14%20GMT	http://themes.iamabdus.com/bigbag/1.1/index-v3.html	C:/My%20Web%20Sites/bigbag/bigbag/themes.iamabdus.com/bigbag/1.1/index-v3.html	(from )
16:24:11	5310/5310	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22582a2740-247c%22	http://themes.iamabdus.com/robots.txt		(from )
16:24:11	28606/28606	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202017%2007:12:14%20GMT	http://themes.iamabdus.com/bigbag/1.1/plugins/jquery-ui/jquery-ui.css	C:/My%20Web%20Sites/bigbag/bigbag/themes.iamabdus.com/bigbag/1.1/plugins/jquery-ui/jquery-ui.css	(from http://themes.iamabdus.com/bigbag/1.1/index-v3.html)
16:24:12	121200/121200	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202017%2007:12:14%20GMT	http://themes.iamabdus.com/bigbag/1.1/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/bigbag/bigbag/themes.iamabdus.com/bigbag/1.1/plugins/bootstrap/css/bootstrap.min.css	(from http://themes.iamabdus.com/bigbag/1.1/index-v3.html)
16:24:12	27466/27466	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202017%2007:12:14%20GMT	http://themes.iamabdus.com/bigbag/1.1/plugins/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/bigbag/bigbag/themes.iamabdus.com/bigbag/1.1/plugins/font-awesome/css/font-awesome.min.css	(from http://themes.iamabdus.com/bigbag/1.1/index-v3.html)
16:24:13	7239/7239	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202017%2007:12:14%20GMT	http://themes.iamabdus.com/bigbag/1.1/plugins/selectbox/select_option1.css	C:/My%20Web%20Sites/bigbag/bigbag/themes.iamabdus.com/bigbag/1.1/plugins/selectbox/select_option1.css	(from http://themes.iamabdus.com/bigbag/1.1/index-v3.html)
16:24:13	58266/58266	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202017%2007:12:14%20GMT	http://themes.iamabdus.com/bigbag/1.1/plugins/rs-plugin/css/settings.css	C:/My%20Web%20Sites/bigbag/bigbag/themes.iamabdus.com/bigbag/1.1/plugins/rs-plugin/css/settings.css	(from http://themes.iamabdus.com/bigbag/1.1/index-v3.html)
16:24:13	3280/3280	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202017%2007:12:14%20GMT	http://themes.iamabdus.com/bigbag/1.1/plugins/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/bigbag/bigbag/themes.iamabdus.com/bigbag/1.1/plugins/owl-carousel/owl.carousel.css	(from http://themes.iamabdus.com/bigbag/1.1/index-v3.html)
16:24:14	155595/155595	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202017%2007:12:14%20GMT	http://themes.iamabdus.com/bigbag/1.1/css/style.css	C:/My%20Web%20Sites/bigbag/bigbag/themes.iamabdus.com/bigbag/1.1/css/style.css	(from http://themes.iamabdus.com/bigbag/1.1/index-v3.html)
16:24:14	70839/70839	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jan%202017%2007:12:14%20GMT	http://themes.iamabdus.com/bigbag/1.1/options/animate.css	C:/My%20Web%20Sites/bigbag/bigbag/themes.iamabdus.com/bigbag/1.1/options/animate.css	(from http://themes.iamabdus.com/bigbag/1.1/index-v3.html)
